ID_author,Title,Authors,Part_of,Year,Zitiert_von
1,Large language models in medicine,"AJ Thirunavukarasu, DSJ Ting, K Elangovan, L Gutierrez, TF Tan, ...","Nature Medicine 29, 1930–1940",2023,434
1,Trialling a large language model (ChatGPT) in general practice with the Applied Knowledge Test: Observational study demonstrating opportunities and limitations in primary care,"AJ Thirunavukarasu, R Hassan, S Mahmood, R Sanghera, K Barzangi, ...","JMIR Medical Education 9, e46599",2023,66
1,"Large language models in health care: Development, applications, and challenges","R Yang, TF Tan, W Lu, AJ Thirunavukarasu, DSW Ting, N Liu","Health Care Science 2 (4), 255-263",2023,22
1,Large language models will not replace healthcare professionals: curbing popular fears and hype,AJ Thirunavukarasu,"Journal of the Royal Society of Medicine 116 (5), 181-182",2023,21
1,Clinical validation of a novel web-application for remote assessment of distance visual acuity,"AJ Thirunavukarasu, D Mullinger, R Rufus-Toye, S Farrell, LE Allen","Eye 36 (10), 2057-2061",2022,19
1,Generative Artificial Intelligence through ChatGPT and Other Large Language Models in Ophthalmology: Clinical Applications and Challenges,"TF Tan, AJ Thirunavukarasu, JP Campbell, PA Keane, LR Pasquale, ...",Ophthalmology Science,2023,14
1,The impacts of COVID-19 on glaucoma patient outcomes as assessed by POEM,"R Pujari, G Chan, I Tapply, AGCR Consortium, RR Bourne","Eye 36 (3), 653–655",2022,14
1,Novel web application for self-assessment of distance visual acuity to support remote consultation: a real-world validation study in children,"L Allen, AJ Thirunavukarasu, S Podgorski, D Mullinger","BMJ Open Ophthalmology 6 (1), e000801",2021,11
1,Temporomandibular joint anatomy: ultrasonographic appearances and sexual dimorphism,"AJ Thirunavukarasu, A Ferro, A Sardesai, G Biyani, S Singh Dubb, ...","Clinical Anatomy 34 (7), 1043-1049",2021,11
1,Artificial intelligence and digital health in global eye health: opportunities and challenges,"TF Tan, AJ Thirunavukarasu, L Jin, J Lim, S Poh, ZL Teo, M Ang, ...","The Lancet Global Health 11 (9), e1432-e1443",2023,10
1,"Vitamin A, systemic T-cells, and the eye: focus on degenerative retinal disease","AJ Thirunavukarasu, AC Ross, RM Gilbert","Frontiers in Nutrition 9, 914457",2022,8
1,ChatGPT cannot pass FRCOphth examinations: implications for ophthalmology and large language model artificial intelligence,AJ Thirunavukarasu,Eye News,2023,6
1,Analgesia for retinopathy of prematurity screening: A systematic review,"AJ Thirunavukarasu, R Hassan, SV Savant, DL Hamilton","Pain Practice 22 (7), 642-651",2022,6
1,Democratizing Artificial Intelligence Imaging Analysis With Automated Machine Learning: Tutorial,"AJ Thirunavukarasu, K Elangovan, L Gutierrez, Y Li, I Tan, PA Keane, ...","Journal of Medical Internet Research 25, e49949",2023,3
1,Accuracy and reliability of self-administered visual acuity tests: Systematic review of pragmatic trials,"AJ Thirunavukarasu, R Hassan, A Limonard, SV Savant","PLOS ONE 18 (6), e0281847",2023,3
1,Evaluating the mainstream impact of ophthalmological research with Google Trends,AJ Thirunavukarasu,"Eye 35 (11), 3165–3167",2021,3
1,"Artificial intelligence education: An evidence-based medicine approach for consumers, translators, and developers","FYC Ng, AJ Thirunavukarasu, H Cheng, TF Tan, L Gutierrez, Y Lan, ...","Cell Reports Medicine 4 (10), 101230",2023,2
1,Human spinal cord tissue is an underutilised resource in degenerative cervical myelopathy: findings from a systematic review of human autopsies,"E Dohle, S Beardall, A Chang, KPC Mena, L Jovanović, U Nath, KS Lee, ...","Acta Neurochirurgica 165 (5), 1121-1131",2023,2
1,Large language models approach expert-level clinical knowledge and reasoning in ophthalmology: A head-to-head cross-sectional study,"AJ Thirunavukarasu, S Mahmood, A Malem, WP Foster, R Sanghera, ...","medRxiv, 2023.07. 31.23293474",2023,2
1,Electron beam-irradiated donor cornea for on-demand lenticule implantation to treat corneal diseases and refractive error,"AJ Thirunavukarasu, E Han, AM Nedumaran, AC Kurz, J Shuman, YC Liu, ...","Acta Biomaterialia 169, 334-347",2023,1
2,Large language models in medicine,"AJ Thirunavukarasu, DSJ Ting, K Elangovan, L Gutierrez, TF Tan, ...","Nature Medicine 29 (8), 1930-1940",2023,434
2,"Digital technology, tele-medicine and artificial intelligence in ophthalmology: A global perspective","JPO Li, H Liu, DSJ Ting, S Jeon, RVP Chan, JE Kim, DA Sim, ...","Progress in Retinal and Eye Research 82, 100900",2021,388
2,"Infectious keratitis: an update on epidemiology, causative microorganisms, risk factors, and antimicrobial resistance","DSJ Ting, CS Ho, R Deshmukh, DG Said, HS Dua","Eye 35 (4), 1084-1101",2021,244
2,Artificial intelligence for anterior segment diseases: Emerging applications in ophthalmology,"DSJ Ting, VHX Foo, LWY Yang, JT Sia, M Ang, H Lin, J Chodosh, ...","British Journal of Ophthalmology 105 (2), 158-168",2021,136
2,Visual neglect following stroke: current concepts and future focus,"DSJ Ting, A Pollock, GN Dutton, FN Doubal, DSW Ting, M Thompson, ...","Survey of Ophthalmology 56 (2), 114-134",2011,127
2,Changing trends in keratoplasty in the West of Scotland: a 10-year review,"DSJ Ting, CY Sau, S Srinivasan, K Ramaesh, S Mantry, F Roberts","British Journal of Ophthalmology 96 (3), 405-408",2012,106
2,Prosthetic iris devices,"S Srinivasan, DSJ Ting, ME Snyder, S Prasad, HR Koch","Canadian Journal of Ophthalmology 49 (1), 6-17",2014,97
2,"12-year analysis of incidence, microbiological profiles and in vitro antimicrobial susceptibility of infectious keratitis: the Nottingham Infectious Keratitis Study","DSJ Ting, CS Ho, J Cairns, A Elsahn, M Al-Aqaba, T Boswell, DG Said, ...","British Journal of Ophthalmology 105, 328-333",2021,90
