ID_author,ID_paper,link,name,organization
1,1,https://scholar.google.com/citations?user=3qb1AYwAAAAJ&hl=de&oi=sra,Arun Thirunavukarasu,University of Oxford
2,1,https://scholar.google.com/citations?user=KbrpC8cAAAAJ&hl=de&oi=sra,Darren S J Ting,Organization not found
3,1,https://scholar.google.com/citations?user=BE_lVTQAAAAJ&hl=de&oi=sra,Kabilan Elangovan,Organization not found
4,2,https://scholar.google.com/citations?user=JUsooa0AAAAJ&hl=de&oi=sra,abeba birhane,Trinity College Dublin
5,2,https://scholar.google.com/citations?user=4iG4IC4AAAAJ&hl=de&oi=sra,Atoosa Kasirzadeh,University of Edinburgh
6,3,https://scholar.google.com/citations?user=Q7Ieos8AAAAJ&hl=de&oi=sra,Xu Wang,Jilin University
7,3,https://scholar.google.com/citations?user=hBZ_tKsAAAAJ&hl=de&oi=sra,Jindong Wang,Startseite
8,3,https://scholar.google.com/citations?user=KVeRu2QAAAAJ&hl=de&oi=sra,Yuan Wu,Carleton
9,3,https://scholar.google.com/citations?user=go3sFxcAAAAJ&hl=de&oi=sra,Linyi Yang,Startseite
10,4,https://scholar.google.com/citations?user=48GJrbsAAAAJ&hl=de&oi=sra,John Kirchenbauer,"University of Maryland, College Park"
11,4,https://scholar.google.com/citations?user=206vNCEAAAAJ&hl=de&oi=sra,Jonas Geiping,Startseite
12,4,https://scholar.google.com/citations?user=oUYfjg0AAAAJ&hl=de&oi=sra,Yuxin Wen,University of Maryland
13,5,https://scholar.google.com/citations?user=JNhNacoAAAAJ&hl=de&oi=sra,Wayne Xin Zhao,Renmin University of China
14,5,https://scholar.google.com/citations?user=bmRJVjwAAAAJ&hl=de&oi=sra,Kun Zhou,Startseite
15,5,https://scholar.google.com/citations?user=zeWrn-4AAAAJ&hl=de&oi=sra,Junyi Li,Universite de Montreal
16,5,https://scholar.google.com/citations?user=t1mRUvQAAAAJ&hl=de&oi=sra,Tianyi Tang,Renmin University of China
17,5,https://scholar.google.com/citations?user=aYpLzewAAAAJ&hl=de&oi=sra,Xiaolei Wang,Renmin University of China
18,5,https://scholar.google.com/citations?user=447sLrkAAAAJ&hl=de&oi=sra,Yupeng Hou,"University of California, San Diego"
19,6,https://scholar.google.com/citations?user=jxJflawAAAAJ&hl=de&oi=sra,Shijie Wu,Bloomberg L.P.
20,6,https://scholar.google.com/citations?user=sm7-kIwAAAAJ&hl=de&oi=sra,Ozan İrsoy,Startseite
21,6,https://scholar.google.com/citations?user=I2LdCXwAAAAJ&hl=de&oi=sra,Vadim Dabravolski,Organization not found
22,6,https://scholar.google.com/citations?user=7jNkTbYAAAAJ&hl=de&oi=sra,Mark Dredze,Johns Hopkins University
23,7,https://scholar.google.com/citations?user=z0bu0kIAAAAJ&hl=de&oi=sra,Haiyan Zhao,Peking University
24,7,https://scholar.google.com/citations?user=DyYOgLwAAAAJ&hl=de&oi=sra,Hanjie Chen,Rice University
25,7,https://scholar.google.com/citations?user=RXFeW-8AAAAJ&hl=de&oi=sra,Fan Yang,Wake Forest University
26,7,https://scholar.google.com/citations?user=XQJ0hm8AAAAJ&hl=de&oi=sra,Ninghao Liu,University of Georgia
27,7,https://scholar.google.com/citations?user=QEjqzXgAAAAJ&hl=de&oi=sra,huiqi deng,Shanghai JiaoTong University
28,7,https://scholar.google.com/citations?user=Kz-r34UAAAAJ&hl=de&oi=sra,Hengyi Cai,"Institute of Computing Technology, Chinese Academy of Sciences"
29,8,https://scholar.google.com/citations?user=ITGdg6oAAAAJ&hl=de&oi=sra,Franz Och,Google
30,9,https://scholar.google.com/citations?user=1hXyfIkAAAAJ&hl=de&oi=sra,Fangzheng (Frank) Xu,Carnegie Mellon University
31,9,https://scholar.google.com/citations?user=QBn7vq8AAAAJ&hl=de&oi=sra,Uri Alon,Google
32,9,https://scholar.google.com/citations?user=wlosgkoAAAAJ&hl=de&oi=sra,Graham Neubig,Carnegie Mellon University
33,9,https://scholar.google.com/citations?user=PfYrc5kAAAAJ&hl=de&oi=sra,Vincent Hellendoorn,Carnegie Mellon University
34,10,https://scholar.google.com/citations?user=J1hMgtAAAAAJ&hl=de&oi=sra,Emily Reif,Google
35,10,https://scholar.google.com/citations?user=COEsqLYAAAAJ&hl=de&oi=sra,Daphne Ippolito,Google
36,11,https://scholar.google.com/citations?user=cZmqj_0AAAAJ&hl=de&oi=sra,Shukang Yin,University of Science and Technology of China
37,11,https://scholar.google.com/citations?user=4A1xYQwAAAAJ&hl=de&oi=sra,Chaoyou Fu,Startseite
38,11,https://scholar.google.com/citations?user=bEZurKQAAAAJ&hl=de&oi=sra,Sirui Zhao,University of Science and Technology of China
39,11,https://scholar.google.com/citations?user=i1iE83QAAAAJ&hl=de&oi=sra,Ke Li,Shandong University
40,11,https://scholar.google.com/citations?user=IUtix9IAAAAJ&hl=de&oi=sra,Xing Sun 孙星,Startseite
41,11,https://scholar.google.com/citations?user=2pYJyYUAAAAJ&hl=de&oi=sra,Tong Xu,University of Science and Technology of China
43,12,https://scholar.google.com/citations?user=VBclY_cAAAAJ&hl=de&oi=sra,Yi Tay,Google
44,12,https://scholar.google.com/citations?user=WMBXw1EAAAAJ&hl=de&oi=sra,Rishi Bommasani,Stanford University
46,12,https://scholar.google.com/citations?user=NL_7iTwAAAAJ&hl=de&oi=sra,Barret Zoph,Startseite
47,13,https://scholar.google.com/citations?user=NWXxqQ8AAAAJ&hl=de&oi=sra,Jacob Austin,Google
48,13,https://scholar.google.com/citations?user=EHQHNdEAAAAJ&hl=de&oi=sra,Augustus Odena,Startseite
49,13,https://scholar.google.com/citations?user=NsuX8R8AAAAJ&hl=de&oi=sra,Maxwell Nye,Startseite
50,13,https://scholar.google.com/citations?user=wkeFQPgAAAAJ&hl=de&oi=sra,Maarten Bosma,Organization not found
51,14,https://scholar.google.com/citations?user=kW7nbSEAAAAJ&hl=de&oi=sra,Ross Taylor,Organization not found
52,14,https://scholar.google.com/citations?user=dEtv5r4AAAAJ&hl=de&oi=sra,Guillem Cucurull,Organization not found
53,14,https://scholar.google.com/citations?user=qou4P-kAAAAJ&hl=de&oi=sra,Thomas Scialom,Startseite
54,15,https://scholar.google.com/citations?user=bZVkVvoAAAAJ&hl=de&oi=sra,Enkelejda Kasneci,Technical University of Munich
55,15,https://scholar.google.com/citations?user=MbMBoN4AAAAJ&hl=de&oi=sra,Kathrin Seßler,Technical University of Munich
56,15,https://scholar.google.com/citations?user=g1jX5QUAAAAJ&hl=de&oi=sra,Stefan Küchemann,LMU München
57,15,https://scholar.google.com/citations?user=TjfQ8QkAAAAJ&hl=de&oi=sra,Maria Bannert,Startseite
58,16,https://scholar.google.com/citations?user=q4qDvAoAAAAJ&hl=de&oi=sra,Nicholas Carlini,Google
59,16,https://scholar.google.com/citations?user=ijH0-a8AAAAJ&hl=de&oi=sra,Florian Tramèr,ETH Zurich
60,16,https://scholar.google.com/citations?user=SgST3LkAAAAJ&hl=de&oi=sra,Eric Wallace,UC Berkeley
61,16,https://scholar.google.com/citations?user=_8rw_GMAAAAJ&hl=de&oi=sra,Matthew Jagielski,Google
63,17,https://scholar.google.com/citations?user=B8wslVsAAAAJ&hl=de&oi=sra,Shixiang Shane Gu,Google
64,17,https://scholar.google.com/citations?user=kQ0HeQIAAAAJ&hl=de&oi=sra,Le Hou,Google
65,17,https://scholar.google.com/citations?user=sd0nprMAAAAJ&hl=de&oi=sra,Yuexin Wu,Google
