Title,Authors,Year,Publisher,Referenced,Versions
Die touristische Erschließung des Fogarascher Gebirges in den Südkarpaten,"KS Von Alfred, FM Schuster","Zeitschrift für Siebenbürgische …, 2016",ceeol.com,0,1
[BUCH] Radensdorf: Geschichte (n) eines Spreewalddorfs,T Mietk,2023,books.google.com,0,1
[BUCH] Die Lüneburger Heide,R Linde,2014,books.google.com,1,2
[BUCH] Versuch einer Darstellung der deutschen Mundarten des ungrischen Berglandes mit Sprachproben und Erläuterungen,KJ Schröer,1864,books.google.com,3,2
[BUCH] 1914: Tagebuch,F Blümel,2014,books.google.com,0,1
[BUCH] Topographie und Statistik von Lübeck und dem mit Hamburg gemeinschaftlichen Amte Bergedort: ein Beitrag zur topographisch-statistisch-historisch …,HL Behrens,1829,books.google.com,5,2
[BUCH] Spaziergänge in den Umgebungen von Salzburg,F von Spaur,1834,books.google.com,0,1
[BUCH] Die Holz-Architektur der Schweiz,E Gladbach,1885,books.google.com,22,2
[ZITATION] Die Lüneburger Heide,R Linde,1924,Velhagen & Klasing,16,4
[ZITATION] Die Baudenkmäler der Stadt St. Gallen,A Hardegger,1922,Fehr'schen Buchhandlung,2,1
[ZITATION] Catalog de Gemälde-gallerie des Städelschen Kunstituts in Frankfurt am Main: Im Auftrag der Administration des Institutes,H Weizsäcker,1903,August Osterrieth,4,2
[ZITATION] Ostdeutsche Volkskunde,K Brunner,1925,Quelle & Meyer,30,3
[BUCH] Das Schneekind: eine Familie unterwegs durch die Schneewüsten Kanadas,N Vanier,2015,books.google.com,1,1
[BUCH] Sibirien!,G Kennan,1890,books.google.com,4,2
[BUCH] Ueber den St. Gotthard: Reise-Skizzen,AW Grube,1871,books.google.com,0,1
"[BUCH] Handbuch für Reisende nach Tirol, Salzburg und Erzherzogthum Oesterreich: Mit einer Karte und 100 Ansichten in Stahlstich",A Schmidl,1840,books.google.com,2,1
[ZITATION] Alpensommer: 9. Tausend,P Rosegger,1909,Staackmann,1,4
[BUCH] Reisen in die Felsengebirge Nord-Amerika's bis zum Hoch-Plateau von Neu-Mexiko. Mit Landschaften und Abb,B Möllhausen,1861,books.google.com,10,2
[BUCH] Tirol und die Tiroler: ein Handbuch für Freunde dieses Landes und ein Wegweiser für Reisende; mit 1 Karte und vielen Ansichten,A Schmidl,1837,books.google.com,0,1
[BUCH] Kreta: eine geographisch-historische Skizze,H Strobl,1875,books.google.com,0,1
[ZITATION] Madeira: Porto Santo; Reisen mit Insider-Tipps,"R Henß, S Lier",2014,Lonely Planet,0,1
[BUCH] Flaggenwechsel auf Helgoland: der Kampf um einen militärischen Vorposten in der Nordsee,M Herms,2002,books.google.com,4,1
[ZITATION] Geographisches namenbuch: Erklärung geographischer namen nebst aussprachebezeichnung...,E Oppermann,1908,Mayer,0,1
[ZITATION] Führer von Sylt,"M Boie, R Stöpel",1925,Cords,0,1
[BUCH] Das Who is Who der Teton Sioux,G Lutz,2009,books.google.com,0,1
[BUCH] Wilhelm Löhe's Leben: Aus seinem schriftlichen Nachlaß zusammengestellt. Mit Portrait in Lichtdruck,"J Deinzen, J Deinzer",1892,books.google.com,0,1
[BUCH] Reisen in die Felsengebirge Nord-Amerikas bis zum Hoch-Plateau von Neu-Mexico,B Möllhausen,1861,books.google.com,5,2
[BUCH] Der Prachiner Kreis im Königreich Böhmen: mit einer topographischen Karte und fünf Chromolithographien (nach Originalzeichnungen des A. Trichtl),A Schmidl,1840,books.google.com,0,1
[ZITATION] Böhmerwälder hausindustrie und volkskunst,J Blau,1917,JG Calve (R. Lerche),37,3
"[ZITATION] Die nordfriesische inselwelt. Mit 1 grundriss, 7 ansichten und 2 karten...",C Jensen,1925,G. Westermann,0,1
[BUCH] Grundriß der deutschen und bayrischen Geschichte: mit Hervorhebung des biographischen Materiales und Berücksichtigung der wichtigsten Begebenheiten …,J Fick,1878,books.google.com,0,1
[BUCH] Reisen in die Felsengebirge Nord-Amerika's bis zum Hoch-Plateau von Neu-Mexico: m. Abb.[etc.] Eingeführt durch 2 Briefe A. v. Humboldt's in Facs,B Möllhausen,1861,books.google.com,0,1
[ZITATION] Deutsche heimat,J Schrakamp,1912,American Book Company,1,3
"[BUCH] M. Joh. Adam Leonh. Reiz: evang. Pfarrer in Marktbreit von 1701-1753; ein Lebensbild, zugleich ein Beitrag zur Geschichte des Protestantismus in Franken",R Plochmann,1867,books.google.com,0,1
[BUCH] Wald-und Baumkult in Beziehung zur Volksmedizin Oberbayerns,M Höfler,1894,books.google.com,7,4
"[ZITATION] Der unentbehrliche Begleiter nach und auf Helgoland: eine getreue Schilderung der berühmten Insel und des Seebades daselbst,...",S Wallace,1865,Gassmann,0,1
[BUCH] Kretische Gestade,F von Löher,1877,books.google.com,2,3
"[BUCH] Sibirien: nach den im"" Century Magazine"" erschienenen Aufsätzen",G Kennan,1890,books.google.com,0,1
» Ein Furchtbares Elend «(August 1941-Januar 1942),"KH Jarausch, KJ Arnold",""" Das stille Sterben..."", 2008",brill.com,0,1
[ZITATION] Die Bedeutung der deutschen Ansiedlungen in Pennsylvanien,M Lohmann,1923,Ausland und Heimat,5,2
"[BUCH] Hexen, Mörder, Henker: Eine Kriminalgeschichte",A Ehrlich,2016,books.google.com,2,1
Kultur und Akkulturation der Salzburger in Amerika: Die materielle Kultur,CE Haver,"Von Salzburg nach Amerika, 2012",brill.com,0,1
[BUCH] Norwegen der Länge nach: 3000 Kilometer zu Fuß bis zum Nordkap,S Michalowicz,2015,books.google.com,0,1
[BUCH] Ischl und seine Heilanstalten,F de Paula Wirer,1842,books.google.com,0,1
[ZITATION] Bilder aus der deutschen Vergangenheit,G Freytag,1927,Schlüter,227,6
"[BUCH] Centralasien: Landschaften und Völker in Kaschgar, Turkestan, Kaschmir, und Tibet",F von Hellwald,1880,books.google.com,1,2
[ZITATION] Bergnomaden und Yaylabauern in Kaukasien:: zur demographischen Entwicklung und zum sozioökonomischen Wandel bei ethnischen Gruppen mit …,J Stadelbauer,1984,Deutsche Nationalbibliothek,1,1
[BUCH] Postlagernd Floreana: Eine moderne Robinsonade auf den Galápagos-Inseln,"M Wittmer, LM Dreßler",2018,books.google.com,0,1
[BUCH] Reise durch Montenegro nebst Bemerkungen über Land und Leute,K Hassert,1893,books.google.com,9,3
[BUCH] Norwegen.,C Zehden,1882,books.google.com,0,1
[BUCH] Werwölfe und Hexen: Lengsfelder Geschichten I,"R Schlegel, R Leimbach",2013,books.google.com,2,2
[BUCH] Ein Irokese am Genfersee: eine wahre Geschichte,W Wottreng,2020,books.google.com,0,1
[ZITATION] Panorama und Tafellandschaft: Anfänge und Frühzeit der Landschaftsmalerei in Hamburg bis 1830,WH Dammann,1910,Lütcke & Wulff,0,1
[ZITATION] Chronik von Lauchheim: Geschichte der ehemaligen Deutschordenscommende Kapfenburg,A Gerlach,1907,Bucher,4,1
[ZITATION] Durch norwegische Jagdründe: Jagd-und Reisebilder aus dem hohen Norden,C Rehfus-Oberländer,1899,J. Neumann,0,1
[BUCH] Neue Bilder aus dem Leben des deutschen Volkes,G Freytag,1862,books.google.com,8,4
"[BUCH] Ueber den Ural: Vortrag, gehalten am 28. April 1873 im Naturwissenschaftlichen Verein zu Wien",F von Hochstetter,1873,books.google.com,1,2
[BUCH] Chile: Land und leute. Nach zwanzigjährigen eigenen beobachtungen und denen anderer kurz geschildert,KC Ochsenius,1884,books.google.com,10,3
[BUCH] Briefe über West-Canada,J Teuscher,2023,books.google.com,2,1
[BUCH] Das Deutschland-Quiz: 166 Geschichten aus 16 Bundesländern,H Reinke,2020,books.google.com,0,1
[BUCH] Nachtrag zum Wörterbuche der deutschen Mundarten des ungrischen Berglandes,KJ Schröer,1859,books.google.com,1,2
[BUCH] Mein Brandenburg,G De Bruyn,2014,books.google.com,8,1
[BUCH] Der Spreewald und seine bewohner,E Kühn,1889,books.google.com,7,1
[BUCH] Östlich der Sonne: vom Baikalsee nach Alaska,K Bednarz,2011,books.google.com,6,1
[BUCH] Backsteintor und Spreewaldkahn: Märkische Landschaften,U Berger,2013,books.google.com,1,3
[BUCH] Neue Bilder aus dem Leben des deutschen Volkes. Herausgegeben von GF,G Freytag,1862,books.google.com,0,1
[BUCH] Nebelmeer und Wermutsteppe: Begegnungen,U Berger,2013,books.google.com,0,1
[BUCH] Ein Leben am Oberrhein: Essays und Reiseskizzen aus dem Elsaß und aus Baden,O Flake,2015,books.google.com,0,1
[BUCH] Die Reise durchs Zimmer,A Heilborn,2020,books.google.com,5,1
[BUCH] Auf den Fährten der Big Five: Drei Jahrzehnte Jagd in Afrika,RD Baldus,2023,books.google.com,4,1
[ZITATION] Graubünden: Illustrierter reisebegleiter durch alle talschaften...,E Lechner,1903,Ebner,2,1
[ZITATION] Kurland und die Dünafront,F Wertheimer,1916,Deutsche Verlags-Anstalt,1,2
[BUCH] Dresden seine Umgebungen und die sächsische Schweiz: Ein Taschenbuch für Reisende. Mit Plan von Dresden Grundriss des Museums und Karte der …,F Gottschalck,1856,books.google.com,0,1
[BUCH] Technologietransfer und Auswanderungen im Umfeld des Harzer Montanwesens: Tagungsband der 8. montanhistorischen Arbeitstagung des Harzvereins für …,"HH Hillegeist, W Liessmann",2001,books.google.com,3,1
[BUCH] Ans dunkle Ufer,AE Johann,2016,books.google.com,1,3
[ZITATION] Kriegsritte: erlebenisse eines Kavallerieoffiziers,E von Schmidt-Pauli,1916,Eysler & Company,0,1
[BUCH] Usedom Reiseführer Michael Müller Verlag: Individuell reisen mit vielen praktischen Tipps.,"S Becht, S Talaron",2023,books.google.com,0,1
[ZITATION] Chubut: Im Sattel durch Kordillere und Pampa Mittel-Patagoniens (Argentinien),W Vallentin,1912,H. Paetel,2,3
[BUCH] Ueber den Polarkreis,"T von Bayer, T von Bayern",1889,books.google.com,3,2
[BUCH] Wanderungen durch die Mark Brandenburg: Spreeland: Beeskow-Storkow und Barnim-Teltow,T Fontane,1882,books.google.com,3,4
[BUCH] “Das” Vaterlandsbuch: Illustrirte Haus-und Schul-Bibliothek zur Erweiterung der Heimathskunde sowie zur Erweckung vaterländischen Sinnes. Illustrirte …,"F Körner, J Wenzig, JCC Vogel",1856,books.google.com,0,1
[BUCH] Zur geschichte der stadt Ems,H Hess,1895,books.google.com,0,1
"[PDF] Frühling, ja du bist's!",DIE SandsteinKurier,,slub.qucosa.de,0,1
[BUCH] Ostseeküste Mecklenburg-Vorpommern Reiseführer Michael Müller Verlag,"S Talaron, S Becht",2022,books.google.com,0,1
[ZITATION] Kevelaer: Wallfahrt und Wirtschaft,A Marx,1922,Hessische Ludwigsuniversitat zu …,0,1
"[BUCH] John Osawatomie Brown, der Negerheiland: Festschrift zur ersten Säkularfeier der Vereinigten Staaten von Nord-Amerika",A Prowe,1876,books.google.com,0,1
[BUCH] Die Neue Welt der Deutschen: Deutsch-Amerika–ein fast vergessenes Kapitel amerikanischer Geschichte,M Friske,2021,books.google.com,0,1
[BUCH] Spreewald Reiseführer Michael Müller Verlag: Individuell reisen mit vielen praktischen Tipps,P Leiverkus,2022,books.google.com,0,1
[BUCH] Über altgermanische Landwirthschaft,C Hostmann,1855,books.google.com,3,2
[BUCH] Stadt und Kulturraum Angloamerika,B Hofmeister,2013,books.google.com,24,5
[BUCH] Chubut,W Vallentin,2022,books.google.com,4,2
» Der Atem des Krieges «(September 1939–Januar 1940),"KH Jarausch, KJ Arnold",""" Das stille Sterben..."", 2008",brill.com,0,1
"[BUCH] Land und volk der Vereinigten Staaten von Nord-Amerika: Zur belehrung für jedermann, vorzüglich für auswanderer",K Büchele,1855,books.google.com,0,1
[ZITATION] Anhalter sagenbuch: sagen und legenden aus dem Anhaltlande,"R Siebert, H Siebert",1924,A. König,0,1
[BUCH] Anleitung zur Landbaukunst,JCF Keferstein,1791,books.google.com,0,1
[BUCH] Die Bau-und Kunstdenkmäler der Provinz Ostpreussen: Aus der Kunstgeschichte. Ostpreussen. Nachträge,A Boetticher,1898,books.google.com,3,2
[ZITATION] Die Altmark im dreissigjährigen kriege,W Zahn,1904,Verein für reformationsgeschichte,5,4
[ZITATION] Die erwachende Sphinx: durch Afrika vom Kap nach Kairo,C Ross,1927,FA Brockhaus,3,4
[BUCH] Harz Reiseführer Michael Müller Verlag: Individuell reisen mit vielen praktischen Tipps,"B Reiter, M Wistuba",2022,books.google.com,0,1
[ZITATION] Kolonisation und Tourismus in Ostpatagonien: Ein Beitrag zum Problem kulturgeographischer Entwickungsprozesse am Rande der Ökumene,W Eriksen,1970,"Dissertation, Bonn, Rheinische …",4,1
[BUCH] Västerbotten Land der Abenteuer: Nordschweden durchstreifen und erleben,K Benning,2019,books.google.com,0,1
[BUCH] John Osawatomie Brown der Negerheiland,A Prowe,1876,books.google.com,1,2
[ZITATION] Lüneburger Heimatbuch: Bd. Volk und geistiges Leben,"O Benecke, T Benecke",1927,C. Schünemann,4,2
[BUCH] Der Autostopper: die kurzen Erzählungen,F Hohler,2014,books.google.com,0,1
[PDF] Fortifikation im Barock: Die Schanzen des „Türkenlouis “im Südschwarzwald,W Störk,"Das Markgräflerland, 2009",minifossi.pcom.de,4,2
"[BUCH] Die"" Murren"" des Hans Freiherr von Campenhausen:"" Erinnerungen, dicht wie ein Schneegestöber""; Autobiographie","H von Campenhausen, R Slenczka",2005,books.google.com,0,1
[BUCH] Der Herr des Regenbogens: Roman einer Expedition,P Baumann,2016,books.google.com,0,1
[BUCH] Skizzirte Geschichte der russisch-preußischen Blockade und Belagerung von Danzig im Jahr 1813: Nebst der Verteidigung dieses Platzes,JK Plümicke,1817,books.google.com,0,1
[ZITATION] Die Vogesen,E Grucker,1908,Velhagen & Klasing,1,2
[ZITATION] Die Salzvorräte der Sahara: Ihre Natur und Verwertung,W Niemann,1914,Remmler,0,1
[BUCH] Uebersichtliche Zusammenstellung der Geschichte Gotha's von Begründung der Stadt an bis Ende des Jahres 1866: chronologisch geordnet mit kurzer …,E Schlegel,1869,books.google.com,0,1
"[ZITATION] Geschichte der Stadt Frankfurt am Main in Wort und Bild, von Friedr. Bothe und Bernard Mul̈ler","F Bothe, B Müller",1913,Moritz Diesterweg,88,4
[BUCH] Der kleine Grenzverkehr,E Kästner,2017,books.google.com,12,5
[BUCH] Geschichte der Stadt Libau,A Wegner,1898,books.google.com,10,1
[BUCH] Studien zur Geschichte von Oestringen und Rüstringen,G Sello,1898,books.google.com,12,1
[BUCH] Kurzgefaßte Geographie des Herzogthums Steiermark,J Herzog,1854,books.google.com,2,1
[BUCH] August Rauschenbusch (1816-1899): ein Pioneer der deutschen Baptisten in Nordamerika,A Schumacher,2010,books.google.com,0,1
[BUCH] Landwirtschaft: Vom alten Rom bis zur kolumbianischen Börse,M Bakers,,books.google.com,0,1
[BUCH] Reise um die Welt in den Jahren 1844-1847,C von Görtz,1864,books.google.com,1,2
[BUCH] Reise um die Welt in den Jahren 1844-1847,KH Görtz,1864,books.google.com,1,4
[BUCH] Der Krieg der deutschen Wehrmacht und der Polizei 1941–1944: Sowjetische Überlebende berichten,P Kohl,2016,books.google.com,9,2
"[BUCH] Der Curort Görbersdorf in Schlesien, eine Heilanstalt für Lungenkranke: Geschildert und als Handbuch und Führer zum Gebrauch für Curgäste bestimmt",A Palleske,1872,books.google.com,1,1
[BUCH] Das Herzogthum Salzburg oder der Salzburger Kreis: ein Originalwerk,B Pillwein,1839,books.google.com,16,2
[PDF] Vereins für Volkskunde.,K Weinhold,,dlibra.bibliotekaelblaska.pl,0,1
[BUCH] Kulturregion Riesengebirge-Die Wiesenbaude-: Ein kultur-historischer Streifzug durch das Riesengebirge mit den ehemaligen Bewohnern der Wiesenbaude,"M Morgner, J Baumann",2013,books.google.com,0,1
[BUCH] Jahresberichte des Vereins für Erdkunde zu Dresden,Verein für Erdkunde zu Dresden,1865,books.google.com,0,1
"[BUCH] Sehnsuchts-Trip Sankt-Lorenz-Strom: Eine Rundreise über New York, Niagara, Thousand Islands, Montreal, Québec, Halifax und Bar Habour","U Fischer, B Siegmund",2020,books.google.com,0,1
[ZITATION] Bilder aus der Geschichte der Stadt Friedrichstadt ad Eider: zur 300 Jahrfeier der Gründung,H Schmidt,1921,Pfeiffer,4,1
[BUCH] Die hessischen Ritterburgen und ihre Besitzer: Mit 4 Ansichten. 2,G Landau,1833,books.google.com,9,4
"[ZITATION] Turkestan, die wiege der indogermanischen völker: Nach fünfzehnjährigem aufenthalt in Turkestan dargestellt von Franz v. Schwarz...",FX Von Schwarz,1900,Herder,3,2
"[BUCH] Historisch-geographische Darstellung des Kantons Appenzell, mit besonderer Berücksichtigung seiner Kuranstalten, Alpengegenden und Industrie",G Rüsch,1844,books.google.com,0,1
[BUCH] Orte mit kuriosen Namen in Mecklenburg-Vorpommern: Von Aalbude bis Zitterpenningshagen,"W Siering, R Siering",2013,books.google.com,0,1
[ZITATION] Helgoland in Geschichte und Sage: seine Nachweisbaren landverluste und seine Erhaltung...,A Brohm,1907,A. Rauschenplat,11,1
[ZITATION] Wohnung und Siedlung,P Wolf,1926,Wasmuth,24,2
[BUCH] Rügensche skizzen,AWMG Haas,1898,books.google.com,3,2
[BUCH] Die Geheimnisse der Kokosinsel: Abenteurer auf der Suche nach den größten Piratenschätzen der Welt,G Bremer,2009,books.google.com,0,1
[BUCH] Geschichte und Beschreibung der ehemaligen freien Reichstadt Aalen,H Bauer,1853,books.google.com,2,2
[BUCH] Der Sudetenführer. Taschenbüch für Reisende in das Schlesische Gebirge in dessen gauzer Ausdehnung nebot einer kurzen Beschreibung von Breslau …,J Krebs,1852,books.google.com,1,1
[ZITATION] Unter sardischen hirten,L von Schlözer,1911,Georg Stilke,0,1
[BUCH] Geschichte der Stadt Libau: Mit 4 Plänen,A Wegner,1898,books.google.com,0,1
[ZITATION] Kulturgeschichte des norwegischen Altertums,AW Brøgger,1926,H. Aschehoug & Company,17,2
[BUCH] Geschichte der lutherischen Kirche in Amerika,"HE Jacobs, GJ Fritschel",1896,books.google.com,0,1
[BUCH] Die Schneegrenze: wohnen zwischen Stadt und Land,M Steinbusch,2001,books.google.com,4,1
"[BUCH] Reisehandbuch für Tirol und Salzburg, Salzkammergut, Vorarlberg und das südbairische Gebirgsland... 2. vielfach verb. u",J Reichl,1848,books.google.com,0,1
"[BUCH] Handbuch der Geographie und Staatskunde von Oesterreich: nach dem gegenwärtigen Bestande und der jetzigen politisch-gerichtlichen Eintheilung, nebst …",H Meynert,1853,books.google.com,0,1
[BUCH] M'dam Opel: Lebensbild der Sophie Marie Opel,H Doeringer,2022,books.google.com,0,1
[BUCH] Geschichte der Dresdner heide und ihrer bewohnerschaft,H Meschwitz,1911,books.google.com,0,1
[BUCH] Hauptstadt der Tiere: die Geschichte des ältesten deutschen Zoos,C Maier-Wolthausen,2019,books.google.com,3,2
[BUCH] Leitfaden beim ersten Unterricht in der Geschichte mit besonderer Berücksichtigung der deutschen Geschichte und einer kurzen Geschichte Bayerns als …,C Keppel,1878,books.google.com,0,1
[BUCH] Hohentwiel: Beschreibung und Geschichte,"O Fraas, P Hartmann",1882,books.google.com,0,1
[BUCH] Der ehemalige Schweinach-und Quinzingau: Eine histor.-topograph. Beschreibung,J Klämpfl,1855,books.google.com,0,1
[BUCH] Hoamatle. Heumahd. Heimat.: Ötztaler Museumsgeschichte (n) Teil 2,E Hessenberger,2022,books.google.com,0,1
[BUCH] Worauf gründet sich die schnelle und großartige materielle Entwicklung der Ver. Staaten von Nordamerika?: Inaugural-Dissertation,B Möller,1872,books.google.com,0,1
Mittelsüdengland (Wessex),N Den,"Die Landschaften der Britischen Inseln: Erster Band …, 2013",books.google.com,0,1
[ZITATION] Topographie des Herzogtums Schleswig,H Oldekop,1906,Lipsius & Tischer,25,1
[BUCH] Imenoslovje Julijskih Alp,H Tuma,2000,books.google.com,16,2
[BUCH] Grundzüge der national-oekonomie,"M Wirth, M Wirth",1871,books.google.com,19,4
[BUCH] Meine reise im Orient,A Ziegler,1855,books.google.com,1,3
[BUCH] Kleine Geschichte der Stadt Baden-Baden,D Kicherer,2016,books.google.com,0,1
[BUCH] Geschichte der Stadt und Kirchengemeinde Selb,CMA Clöter,1867,books.google.com,0,1
[ZITATION] Berichte über land-und forstwirtschaft in Deutsch-Ostafrika,German East Africa,1906,C. Winter's …,0,1
"[BUCH] Handbuch der Geographie, Statistik und Topographie des Königreiches Sachsen: Den Dresdener Kreisdirectionsbezirk enthaltend",A Schiffner,1840,books.google.com,4,4
[PDF] In aller Munde: Bier,G Stresow,,slub.qucosa.de,0,1
[ZITATION] In aller Munde: Bier: eine Anthologie,G Stresow,2011,Deutsche Nationalbibliothek,0,1
[BUCH] Württemberg: nach seiner Vergangenheit und Gegenwart in Land und Leuten,T Griesinger,1866,books.google.com,2,1
"[PDF] ""... zu erzählen von dem, was ich am tiefsten geliebt habe"": Lou Andreas-Salomés Russlandbild im Vergleich zum Bild Russlands in historischen Quellen: eine …",AM Sitzwohl,,unipub.uni-graz.at,0,1
[PDF] Figuren der Übertragung,"M Gamper, K Wagner","Adalbert Stifter und das Wissen seiner Zeit …, 2009",mediality.ch,6,4
"[BUCH] Beiträge zu einer kritischen Geschichte Vorarlbergs und der angrenzenden Gebiete, besonders in der ältesten und älteren Zeit",J Bergmann,1853,books.google.com,1,1
